element,domain,node0,node1,node2,area_m2,quality,heat_flux_W_m2,electric_field_V_m,joule_W_m3
1778,"plate",1125,1126,95,0.0000032822715625000276,0.9816710084322944,29222.63089938668,9.25532649796304,969557.1797706271
1779,"plate",510,472,511,0.0000027063293750000044,0.9999999999999998,1166.060788481098,9.153717048799281,902738.0229588535
1780,"plate",549,510,511,0.000002706329375,1,1196.2743995642365,9.159489750655629,903869.233535681
1781,"plate",472,473,511,0.0000027063293750000044,1,368.9991827821359,9.591716511763053,991120.5525469839
1782,"plate",550,549,511,0.000002706329375,1,263.07704598270357,8.434543376182518,766389.4438741475
1783,"plate",473,512,511,0.0000027063293750000044,1,1166.0607885620714,9.15371704879157,902738.0229573472
1784,"plate",512,550,511,0.000002706329375,1,1196.274399650994,9.159489750648396,903869.2335342654
1785,"padR",61,62,1079,0.0000015624999999999247,0.802070570033252,37602.052357333014,1.1782697638665738,111065.57091537531
1786,"padR",62,1116,1079,0.000002575629843749948,0.9951225755370725,37858.125309929594,1.1880710693287306,112921.02926207308
1787,"padR",1116,1078,1079,0.0000027063293749999955,1,37500.37226113424,1.1808939160680962,111560.83528053152
1788,"padR",1078,1039,1079,0.0000027063293750000044,0.9999999999999998,37500.86551483317,1.1809415745188019,111569.84019415574
1789,"padR",1039,61,1079,0.0000016931995312499258,0.6906109778241429,37437.903039118515,1.1736651062513315,110199.18253055593
1790,"plate",677,676,654,0.0000027063293750000044,1,24213.013333172974,6.072069917355196,428594.5089480523
1791,"plate",629,630,654,0.000002706329375,1,26851.630434532854,6.840347759834889,543240.9352055084
1792,"plate",653,629,654,0.000002706329375,1,24521.30167469935,6.352527517817483,466918.1277102496
1793,"plate",676,653,654,0.0000027063293750000044,1,24199.174375671882,6.284290960867099,457282.84379347524
1794,"plate",398,360,399,0.000002706329375000003,1,8701.285054416603,10.468390606384634,1184850.7640710836
1795,"plate",437,398,399,0.0000027063293750000023,1.0000000000000002,8738.087744263306,10.476997261438035,1186741.5226372464
1796,"plate",361,400,399,0.000002706329375000003,1,11918.775679186474,10.644776104847347,1228678.810102565
1797,"plate",360,361,399,0.000002706329375000003,1,10312.89877670696,10.503981243792486,1194540.0164600282
1798,"plate",79,1142,78,0.0000032822715625000136,0.9816710084322937,16128.112635616402,10.343804820488975,1167171.0610013583
1799,"plate",1143,77,78,0.000003282271562500032,0.9816710084322948,18923.207333531365,10.235929536815178,1148678.949531803
1800,"plate",1142,1143,78,0.000003282271562500032,0.9816710084322948,17597.003144132774,10.321425490453818,1164920.0619456184
1801,"plate",1152,152,151,0.0000015624999999999334,0.7203636299270889,37770.62969588373,8.308569105968122,820550.6142756704
1802,"padR",152,1153,151,0.000001562500000000072,0.7203636299271261,38028.313635569946,1.2270354141390452,120449.27260411024
1803,"plate",68,1152,151,0.0000015624999999999334,0.664711177933589,37763.91579179481,8.306249291255803,820076.0057909485
1804,"padR",1153,68,151,0.000001562500000000072,0.6647111779336253,38062.72596852994,1.2289375081688574,120822.99191874244
1805,"plate",912,874,913,0.0000027063293749999955,0.9999999999999998,24361.86835618001,11.818064253455601,1538267.0669625504
1806,"plate",951,912,913,0.0000027063293750000044,1,24336.017784205134,11.75186542517178,1520437.8340077042
1807,"plate",874,875,913,0.0000027063293749999955,1,27791.604594874243,12.163925590600618,1636167.1561080592
1808,"plate",952,951,913,0.0000027063293750000044,1,24163.290946215704,10.997337323155035,1335809.9127756415
1809,"plate",875,914,913,0.0000027063293749999955,1,26764.33150370067,11.208875494199491,1394148.965751191
1810,"plate",914,952,913,0.0000027063293750000044,0.9999999999999998,26530.510490222077,11.047707479636806,1353325.6111730994
1811,"plate",1110,1148,1109,0.0000027063293750000044,0.9999999999999998,30134.420794332505,9.10584648530464,942773.0772398773
1812,"plate",1108,1070,1109,0.0000027063293749999955,0.9999999999999998,28330.683261190927,9.38817527866666,993728.0773045563
1813,"plate",1147,1108,1109,0.0000027063293750000044,1,28330.85010820051,9.378489278619046,991497.5323931011
1814,"plate",1148,1147,1109,0.0000027063293750000044,1,29223.537637967165,9.259895880916961,970611.266808158
1815,"plate",317,278,279,0.0000027063293750000023,1.0000000000000002,4373.717196356071,10.3782426163459,1161405.7417361457
1816,"plate",278,240,279,0.0000027063293750000023,1.0000000000000002,4369.858812198997,10.378046015386404,1161365.4387309493
1817,"plate",280,318,279,0.0000027063293750000023,1.0000000000000002,1505.5928803255792,10.358109994697628,1155965.9935581118
1818,"plate",241,280,279,0.0000027063293750000023,1.0000000000000002,1504.0316256486938,10.358082247015961,1155960.3255306394
1819,"plate",318,317,279,0.0000027063293750000023,1.0000000000000002,2902.4586786289447,10.331154320973184,1150305.004884351
1820,"plate",240,241,279,0.0000027063293750000023,1.0000000000000002,2934.5206416528727,10.381222110988064,1161485.6746860025
1821,"padL",812,851,811,0.0000027063293749999917,1,33487.680168050094,1.0682758765218503,91297.0678686822
1822,"padL",784,812,811,0.0000027063293750000006,1,33465.86094886644,1.0678061946532045,91216.80554718057
1823,"padL",783,784,811,0.0000027063293750000015,0.9999999999999998,32946.618151161216,1.0461683830623953,87557.46285755094
1824,"padL",851,850,811,0.000002706329374999993,1.0000000000000002,34442.28610121983,1.0949047115669521,95905.30619292085
1825,"padL",850,810,811,0.000002706329374999994,0.9999999999999998,33841.16117806499,1.0716601245748065,91876.43380829519
1826,"padL",810,783,811,0.0000027063293750000023,0.9999999999999998,33831.722318874614,1.071452873920774,91840.90088264689
1827,"plate",1053,1052,1014,0.0000027063293750000044,1,20754.583550005063,10.355465672346169,1179305.0589016431
