node,x_m,y_m,temperature_K,potential_V
235,0.03375,0.00108253175,340.465616014537,0.5687097719740599
236,0.036250000000000004,0.00108253175,343.2079614297026,0.5429571135709355
237,0.03875000000000001,0.00108253175,345.50306636669507,0.5170009601136502
238,0.04125000000000001,0.00108253175,347.33842106699717,0.4909596150994655
239,0.04375000000000001,0.00108253175,348.71025993421546,0.4649184164582287
240,0.04625000000000001,0.00108253175,349.6207997659651,0.4389202316522852
241,0.048750000000000016,0.00108253175,350.0744649509856,0.41296723689426873
242,0.05125000000000002,0.00108253175,350.0744649481035,0.3870327631043122
243,0.05375000000000002,0.00108253175,349.62079975789356,0.3610797683463469
244,0.05625000000000002,0.00108253175,348.71025992248116,0.335081583540497
245,0.058750000000000024,0.00108253175,347.33842105369274,0.30904038489938634
246,0.06125000000000003,0.00108253175,345.5030663541214,0.2829990398853464
247,0.06375000000000003,0.00108253175,343.2079614199946,0.25704288642821116
248,0.06625000000000003,0.00108253175,340.46561600920256,0.23129022802522628
249,0.06875000000000003,0.00108253175,337.2978843207272,0.20587370687623413
250,0.07125000000000004,0.00108253175,333.73400386527237,0.18091792901208953
251,0.07375000000000004,0.00108253175,329.8066650740341,0.1565198940503754
252,0.07625000000000004,0.00108253175,325.5473910091498,0.13273716512684314
253,0.07875000000000004,0.00108253175,320.9825422747796,0.10958529807329168
254,0.08125000000000004,0.00108253175,316.1307358367709,0.08704278470274888
255,0.08375000000000005,0.00108253175,311.00174734827044,0.06506017096561
256,0.08625000000000005,0.00108253175,305.59613499857556,0.04357054831875649
257,0.08875000000000005,0.00108253175,299.90320887347633,0.02250165210612053
258,0.09125000000000005,0.00108253175,296.4797960375896,0.010550170991873713
259,0.09375000000000006,0.00108253175,295.5280886721548,0.007505662261263042
260,0.09625000000000006,0.00108253175,294.57848119179585,0.0044914714831301395
261,0.09875000000000006,0.00108253175,293.627189179491,0.0014952857852492663
262,0.0025,0.0032475952499999997,294.10059378262076,0.7970171926962781
263,0.005,0.0032475952499999997,295.04766289422554,0.7940223745255968
264,0.0075,0.0032475952499999997,295.99495673984165,0.7910042225887673
265,0.012499999999999999,0.0032475952499999997,302.7648561952733,0.7671256138969119
266,0.015,0.0032475952499999997,308.29067209630205,0.7459150437337663
267,0.017499999999999998,0.0032475952499999997,313.5453905853117,0.7242495878454152
268,0.02,0.0032475952499999997,318.5294580072831,0.7020467143295741
269,0.0225,0.0032475952499999997,323.237862919436,0.6792394963710542
270,0.024999999999999998,0.0032475952499999997,327.65667025543934,0.655783962856257
271,0.027499999999999997,0.0032475952499999997,331.7627495448715,0.6316706876415544
272,0.03,0.0032475952499999997,335.5252819839934,0.6069349083439237
273,0.0325,0.0032475952499999997,338.9092197461562,0.5816602971285846
274,0.035,0.0032475952499999997,341.8803246554734,0.5559720649905052
275,0.037500000000000006,0.0032475952499999997,344.4104927430517,0.5300182581329635
276,0.04000000000000001,0.0032475952499999997,346.48154909490523,0.5039432450753092
277,0.04250000000000001,0.0032475952499999997,348.0861280319864,0.47786152081887373
278,0.04500000000000001,0.0032475952499999997,349.22547342127666,0.4518402398657009
279,0.047500000000000014,0.0032475952499999997,349.90525680578577,0.42589519568735457
280,0.05000000000000002,0.0032475952499999997,350.13109453078687,0.39999999999938496
281,0.05250000000000002,0.0032475952499999997,349.90525680759305,0.37410480431142745
282,0.05500000000000002,0.0032475952499999997,349.22547342452697,0.3481597601331144
283,0.05750000000000002,0.0032475952499999997,348.0861280360777,0.32213847917999744
284,0.060000000000000026,0.0032475952499999997,346.4815490991181,0.29605675492363426
285,0.06250000000000003,0.0032475952499999997,344.4104927466504,0.2699817418660632
286,0.06500000000000003,0.0032475952499999997,341.8803246578451,0.24402793500860637
287,0.06750000000000003,0.0032475952499999997,338.9092197469629,0.21833970287060733
288,0.07000000000000003,0.0032475952499999997,335.5252819832077,0.1930650916553446
289,0.07250000000000004,0.0032475952499999997,331.7627495427059,0.16832931235780654
290,0.07500000000000004,0.0032475952499999997,327.65667025228515,0.14421603714322143
291,0.07750000000000004,0.0032475952499999997,323.23786291582644,0.1207605036285569
292,0.08000000000000004,0.0032475952499999997,318.5294580037923,0.09795328567015098
293,0.08250000000000005,0.0032475952499999997,313.5453905824166,0.0757504121543841
294,0.08500000000000005,0.0032475952499999997,308.29067209437574,0.05408495626608147
295,0.08750000000000005,0.0032475952499999997,302.7648561944567,0.032874386102968535
296,0.09250000000000005,0.0032475952499999997,295.99495674006977,0.00899577741115372
297,0.09500000000000006,0.0032475952499999997,295.0476628945135,0.005977625474343168
298,0.09750000000000006,0.0032475952499999997,294.1005937827333,0.0029828073036855165
299,0.00125,0.0054126587499999995,293.62305887008125,0.7985175628509299
300,0.00375,0.0054126587499999995,294.56596087904774,0.7955482803559764
301,0.00625,0.0054126587499999995,295.5070625359144,0.7925616857060849
302,0.008749999999999999,0.0054126587499999995,296.4500477553828,0.7895460281207329
303,0.01125,0.0054126587499999995,299.8398223201044,0.7777081488509096
304,0.013749999999999998,0.0054126587499999995,305.4847707264091,0.7568499405737789
305,0.016249999999999997,0.0054126587499999995,310.8498513912756,0.7355596085575247
306,0.01875,0.0054126587499999995,315.95019209296106,0.7137556067688201
307,0.021249999999999998,0.0054126587499999995,320.7878649117213,0.6913522861756193
308,0.023749999999999997,0.0054126587499999995,325.3552663094444,0.6682775817000958
309,0.026249999999999996,0.0054126587499999995,329.63419690741716,0.6444882129932041
310,0.028749999999999998,0.0054126587499999995,333.5957416403452,0.619986767996118
311,0.03125,0.0054126587499999995,337.20241422732585,0.5948356782502338
312,0.03375,0.0054126587499999995,340.4131921830151,0.5691600001323298
313,0.036250000000000004,0.0054126587499999995,343.19063987951284,0.5431323691576923
314,0.03875000000000001,0.0054126587499999995,345.5077068839142,0.5169406629832425
315,0.04125000000000001,0.0054126587499999995,347.3513422197444,0.49074839728987074
316,0.04375000000000001,0.0054126587499999995,348.72146164585973,0.4646625821677632
317,0.04625000000000001,0.0054126587499999995,349.6261164647132,0.4387197785404325
318,0.048750000000000016,0.0054126587499999995,350.0752240755098,0.41289209837838337
319,0.05125000000000002,0.0054126587499999995,350.0752240751941,0.3871079016203547
320,0.05375000000000002,0.0054126587499999995,349.6261164638316,0.36128022145833516
321,0.05625000000000002,0.0054126587499999995,348.7214616445814,0.3353374178310599
322,0.058750000000000024,0.0054126587499999995,347.35134221829003,0.30925160270902874
323,0.06125000000000003,0.0054126587499999995,345.5077068825253,0.2830593370157481
324,0.06375000000000003,0.0054126587499999995,343.1906398784234,0.2568676308413952
325,0.06625000000000003,0.0054126587499999995,340.4131921823898,0.23083999986685189
326,0.06875000000000003,0.0054126587499999995,337.2024142272227,0.20516432174903665
